Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
gas_attack_capability;Napoleonic Warfere;;;;;;;;;;;;;
gas_attack_capability_desc;There is no man more pusillanimous than I when I am planning a campaign. I purposely exaggerate all the dangers and all the calamities that the circumstances make possible. I am in a thoroughly painful state of agitation. This does not keep me from looking quite serene in front of my entourage I am like an unmarried girl laboring with child.;;;;;;;;;;;;;
tractors;Steam-Engine Based Machinery;;;;;;;;;;;;;
gas_defense_capability;Wellingtionian Defense;;;;;;;;;;;;;
gas_defense_capability_desc;-Who will attack first tomorrow? I or Bonaparte? \n -Bonaparte. \n-Well, Bonaparte has not given me any idea of his projects, and as my plans will depend on his, how can you expect to tell me what mine are?;;;;;;;;;;;;;
colonial_fortresses;Improved Colonial Fortifications;;;;;;;;;;;;;
colonial_fortresses_desc;A set of Improvements in the engineering depratment has allowed us to create new fortifications, much stronger and more resilient while better suited to protect low-supplied garrisons.;;;;;;;;;;;;;
the_dark_continent;Colonial Companys;;;;;;;;;;;;;
the_dark_continent_desc;The New World for centuries attracted many adventurers eager to explore and make profit in new lands, subsequently many companys were created to rip profits on a more massive scale.;;;;;;;;;;;;;
gustavian_army_reform;Gustavian Army Reform;;;;;;;;;;;;;
gustavian_army_reform_desc; ;;;;;;;;;;;;;
subject_hosts;Subject Hosts;;;;;;;;;;;;;
subject_hosts_desc; ;;;;;;;;;;;;;
line_infantry_tactics;Line Infantry Tactics;;;;;;;;;;;;;
line_infantry_tactics_desc; ;;;;;;;;;;;;;
regimental_system;Regimental System;;;;;;;;;;;;;
regimental_system_desc;;;;;;;;;;;;;;
saleried_soldiers;Saleried Soldiers;;;;;;;;;;;;;
saleried_soldiers_desc;;;;;;;;;;;;;;
earthworks;Earthworks;;;;;;;;;;;;;
earthworks_desc; ;;;;;;;;;;;;;
mass_infantry;Mass Infantry;;;;;;;;;;;;;
mass_infantry_desc; ;;;;;;;;;;;;;
scoarched_earth_policy;Scoarched Earth Policy;;;;;;;;;;;;;
scoarched_earth_policy_desc; ;;;;;;;;;;;;;
regimental_mustering;Regimental Mustering;;;;;;;;;;;;;
regimental_mustering_desc; ;;;;;;;;;;;;;
goose_step;Goose Step;;;;;;;;;;;;;
goose_step_desc; ;;;;;;;;;;;;;
light_infantry_companies;Light Infantry Companies;;;;;;;;;;;;;
light_infantry_companies_desc; ;;;;;;;;;;;;;
the_carbine;The Carbine;;;;;;;;;;;;;
the_carbine_desc; ;;;;;;;;;;;;;
proffesional_recruitment;Proffesional Recruitment Techniques;;;;;;;;;;;;;
proffesional_recruitment_desc; ;;;;;;;;;;;;;
napoleonic_square;Napoleonic Square;;;;;;;;;;;;;
napoleonic_square_desc; ;;;;;;;;;;;;;
forging_parties;Forging Parties;;;;;;;;;;;;;
forging_parties_desc; ;;;;;;;;;;;;;
on_war;Clauswitz's "On War";;;;;;;;;;;;;
on_war_desc; ;;;;;;;;;;;;;
matchlock_musket_armament;Matchlock Musket Armament;;;;;;;;;;;;;
matchlock_musket_armament_desc; ;;;;;;;;;;;;;
flintlock_musket_armament;Flintlock Musket Armament;;;;;;;;;;;;;
flintlock_musket_armament_desc; ;;;;;;;;;;;;;
engineer_support_companies;Engineer Support Companies;;;;;;;;;;;;;
engineer_support_companies_desc; ;;;;;;;;;;;;;
grenade;Grenade;;;;;;;;;;;;;
grenade_desc; ;;;;;;;;;;;;;
elite_troops;Elite Troops;;;;;;;;;;;;;
elite_troops_desc; ;;;;;;;;;;;;;
socket_bayonet_armnament;Socket Bayonet Armament;;;;;;;;;;;;;
socket_bayonet_armnament_desc; ;;;;;;;;;;;;;
new_model_musket_armnament;New Model Musket Armament;;;;;;;;;;;;;
new_model_musket_armnament_desc; ;;;;;;;;;;;;;
rifled_guns_armnament;Rifled Guns Armament;;;;;;;;;;;;;
rifled_guns_armnament_desc; ;;;;;;;;;;;;;
redesigned_musket_armament;Redesigned Musket Armament;;;;;;;;;;;;;
redesigned_musket_armament_desc; ;;;;;;;;;;;;;
early_breach_loaded_muskets_armament;Early Breach Loaded Musket Armament;;;;;;;;;;;;;
early_breach_loaded_muskets_armament_desc; ;;;;;;;;;;;;;
cast_bronze_cannons;Cast Bronze Cannons;;;;;;;;;;;;;
cast_bronze_cannons_desc; ;;;;;;;;;;;;;
trunnions;Trunnions;;;;;;;;;;;;;
trunnions_desc; ;;;;;;;;;;;;;
arching_fire_calculation;Arching Fire Calculation;;;;;;;;;;;;;
arching_fire_calculation_desc; ;;;;;;;;;;;;;
artillery_supply_depot;Artillery Supply Depot;;;;;;;;;;;;;
artillery_supply_depot_desc; ;;;;;;;;;;;;;
sakers;Sakers;;;;;;;;;;;;;
sakers_desc; ;;;;;;;;;;;;;
rocket_artillery;Rocket Artillery;;;;;;;;;;;;;
rocket_artillery_desc; ;;;;;;;;;;;;;
royal_mortar;Royal Mortars;;;;;;;;;;;;;
royal_mortar_desc; ;;;;;;;;;;;;;
imporved_bombs;Improved Bombs;;;;;;;;;;;;;
imporved_bombs_desc; ;;;;;;;;;;;;;
improved_carcasses;Improved Carcasses;;;;;;;;;;;;;
improved_carcasses_desc; ;;;;;;;;;;;;;
fine_breed;Fine Breed;;;;;;;;;;;;;
fine_breed_desc; ;;;;;;;;;;;;;
cav_upgrade_i;Cavalry Tactics I;;;;;;;;;;;;;
cav_upgrade_i_desc; ;;;;;;;;;;;;;
horse_messenging_coordination;Horse Messenging Coordination;;;;;;;;;;;;;
horse_messenging_coordination_desc; ;;;;;;;;;;;;;
cav_upgrade_ii;Cavalry Tactics II;;;;;;;;;;;;;
cav_upgrade_ii_desc; ;;;;;;;;;;;;;
